Capitales de provincia	Tipo de dato	Periodo	Total
Total capitales de provincia	Variación relativa	2006	0,34
Total capitales de provincia	Variación relativa	2005	1,29
Total capitales de provincia	Variación relativa	2004	0,37
Total capitales de provincia	Variación relativa	2003	2,00
Total capitales de provincia	Variación relativa	2002	1,41
Total capitales de provincia	Variación relativa	2001	1,17
Total capitales de provincia	Variación relativa	2000	0,19
Total capitales de provincia	Variación relativa	1999	0,36
Total capitales de provincia	Variación relativa	1998	0,26
02003 Albacete	Personas	2020	174.336
02003 Albacete	Personas	2019	173.329
02003 Albacete	Personas	2018	173.050
02003 Albacete	Personas	2017	172.816
02003 Albacete	Personas	2016	172.426
02003 Albacete	Personas	2015	172.121
02003 Albacete	Personas	2014	172.487
02003 Albacete	Personas	2013	172.693
02003 Albacete	Personas	2012	172.472
02003 Albacete	Personas	2011	171.390
02003 Albacete	Personas	2010	170.475
02003 Albacete	Personas	2009	169.716
02003 Albacete	Personas	2008	166.909
02003 Albacete	Personas	2007	164.771
02003 Albacete	Personas	2006	161.508
02003 Albacete	Personas	2005	159.518
02003 Albacete	Personas	2004	156.466
02003 Albacete	Personas	2003	155.142
02003 Albacete	Personas	2002	152.155
02003 Albacete	Personas	2001	149.507
02003 Albacete	Personas	2000	149.667
02003 Albacete	Personas	1999	147.527
02003 Albacete	Personas	1998	145.454
02003 Albacete	Variación absoluta	2020	1.007
02003 Albacete	Variación absoluta	2019	279
02003 Albacete	Variación absoluta	2018	234
02003 Albacete	Variación absoluta	2017	390
02003 Albacete	Variación absoluta	2016	305
02003 Albacete	Variación absoluta	2015	-366
02003 Albacete	Variación absoluta	2014	-206
02003 Albacete	Variación absoluta	2013	221
02003 Albacete	Variación absoluta	2012	1.082
02003 Albacete	Variación absoluta	2011	1.315
02003 Albacete	Variación absoluta	2010	759
02003 Albacete	Variación absoluta	2009	2.807
02003 Albacete	Variación absoluta	2008	2.138
02003 Albacete	Variación absoluta	2007	3.263
02003 Albacete	Variación absoluta	2006	1.990
02003 Albacete	Variación absoluta	2005	3.052
02003 Albacete	Variación absoluta	2004	1.324
02003 Albacete	Variación absoluta	2003	2.987
02003 Albacete	Variación absoluta	2002	2.648
02003 Albacete	Variación absoluta	2001	-160
02003 Albacete	Variación absoluta	2000	2.140
02003 Albacete	Variación absoluta	1999	2.073
02003 Albacete	Variación absoluta	1998	1.655
02003 Albacete	Variación relativa	2020	0,58
02003 Albacete	Variación relativa	2019	0,16
02003 Albacete	Variación relativa	2018	0,14
02003 Albacete	Variación relativa	2017	0,23
02003 Albacete	Variación relativa	2016	0,18
02003 Albacete	Variación relativa	2015	-0,21
02003 Albacete	Variación relativa	2014	-0,12
02003 Albacete	Variación relativa	2013	0,13
02003 Albacete	Variación relativa	2012	0,63
02003 Albacete	Variación relativa	2011	0,55
02003 Albacete	Variación relativa	2010	0,45
02003 Albacete	Variación relativa	2009	1,68
02003 Albacete	Variación relativa	2008	1,30
02003 Albacete	Variación relativa	2007	2,02
02003 Albacete	Variación relativa	2006	1,25
02003 Albacete	Variación relativa	2005	1,95
02003 Albacete	Variación relativa	2004	0,85
02003 Albacete	Variación relativa	2003	1,96
02003 Albacete	Variación relativa	2002	1,77
02003 Albacete	Variación relativa	2001	-0,11
02003 Albacete	Variación relativa	2000	1,45
02003 Albacete	Variación relativa	1999	1,43
02003 Albacete	Variación relativa	1998	1,15
03014 Alicante/Alacant	Personas	2020	337.482
03014 Alicante/Alacant	Personas	2019	334.887
03014 Alicante/Alacant	Personas	2018	331.577
03014 Alicante/Alacant	Personas	2017	329.988
03014 Alicante/Alacant	Personas	2016	330.525
03014 Alicante/Alacant	Personas	2015	328.648
03014 Alicante/Alacant	Personas	2014	332.067
03014 Alicante/Alacant	Personas	2013	335.052
03014 Alicante/Alacant	Personas	2012	334.678
03014 Alicante/Alacant	Personas	2011	334.329
03014 Alicante/Alacant	Personas	2010	334.418
03014 Alicante/Alacant	Personas	2009	334.757
03014 Alicante/Alacant	Personas	2008	331.750
03014 Alicante/Alacant	Personas	2007	322.673
03014 Alicante/Alacant	Personas	2006	322.431
03014 Alicante/Alacant	Personas	2005	319.380
03014 Alicante/Alacant	Personas	2004	310.330
03014 Alicante/Alacant	Personas	2003	305.911
03014 Alicante/Alacant	Personas	2002	293.629
03014 Alicante/Alacant	Personas	2001	283.243
03014 Alicante/Alacant	Personas	2000	276.886
03014 Alicante/Alacant	Personas	1999	272.432
03014 Alicante/Alacant	Personas	1998	272.432
03014 Alicante/Alacant	Variación absoluta	2020	2.595
03014 Alicante/Alacant	Variación absoluta	2019	3.310
03014 Alicante/Alacant	Variación absoluta	2018	1.589
03014 Alicante/Alacant	Variación absoluta	2017	-537
03014 Alicante/Alacant	Variación absoluta	2016	1.877
03014 Alicante/Alacant	Variación absoluta	2015	-3.419
03014 Alicante/Alacant	Variación absoluta	2014	-2.985
03014 Alicante/Alacant	Variación absoluta	2013	374
03014 Alicante/Alacant	Variación absoluta	2012	349
03014 Alicante/Alacant	Variación absoluta	2011	915
03014 Alicante/Alacant	Variación absoluta	2010	-339
03014 Alicante/Alacant	Variación absoluta	2009	3.007
03014 Alicante/Alacant	Variación absoluta	2008	9.077
03014 Alicante/Alacant	Variación absoluta	2007	242
03014 Alicante/Alacant	Variación absoluta	2006	3.051
03014 Alicante/Alacant	Variación absoluta	2005	9.050
03014 Alicante/Alacant	Variación absoluta	2004	4.419
03014 Alicante/Alacant	Variación absoluta	2003	12.282
03014 Alicante/Alacant	Variación absoluta	2002	10.386
03014 Alicante/Alacant	Variación absoluta	2001	6.357
03014 Alicante/Alacant	Variación absoluta	2000	4.454
03014 Alicante/Alacant	Variación absoluta	1999	0
03014 Alicante/Alacant	Variación absoluta	1998	-2.145
03014 Alicante/Alacant	Variación relativa	2020	0,77
03014 Alicante/Alacant	Variación relativa	2019	1,00
03014 Alicante/Alacant	Variación relativa	2018	0,48
03014 Alicante/Alacant	Variación relativa	2017	-0,16
03014 Alicante/Alacant	Variación relativa	2016	0,57
03014 Alicante/Alacant	Variación relativa	2015	-1,03
03014 Alicante/Alacant	Variación relativa	2014	-0,89
03014 Alicante/Alacant	Variación relativa	2013	0,11
03014 Alicante/Alacant	Variación relativa	2012	0,10
03014 Alicante/Alacant	Variación relativa	2011	0,54
03014 Alicante/Alacant	Variación relativa	2010	-0,10
03014 Alicante/Alacant	Variación relativa	2009	0,91
03014 Alicante/Alacant	Variación relativa	2008	2,81
03014 Alicante/Alacant	Variación relativa	2007	0,08
03014 Alicante/Alacant	Variación relativa	2006	0,96
03014 Alicante/Alacant	Variación relativa	2005	2,92
03014 Alicante/Alacant	Variación relativa	2004	1,44
03014 Alicante/Alacant	Variación relativa	2003	4,18
03014 Alicante/Alacant	Variación relativa	2002	3,67
03014 Alicante/Alacant	Variación relativa	2001	2,30
03014 Alicante/Alacant	Variación relativa	2000	1,63
03014 Alicante/Alacant	Variación relativa	1999	0,00
03014 Alicante/Alacant	Variación relativa	1998	-0,78
04013 Almería	Personas	2020	201.322
04013 Almería	Personas	2019	198.533
04013 Almería	Personas	2018	196.851
04013 Almería	Personas	2017	195.389
04013 Almería	Personas	2016	194.515
04013 Almería	Personas	2015	194.203
04013 Almería	Personas	2014	193.351
04013 Almería	Personas	2013	192.697
04013 Almería	Personas	2012	191.443
04013 Almería	Personas	2011	190.349
04013 Almería	Personas	2010	190.013
04013 Almería	Personas	2009	188.810
04013 Almería	Personas	2008	187.521
04013 Almería	Personas	2007	186.651
04013 Almería	Personas	2006	185.309
04013 Almería	Personas	2005	181.702
04013 Almería	Personas	2004	177.681
04013 Almería	Personas	2003	176.727
04013 Almería	Personas	2002	173.338
04013 Almería	Personas	2001	170.994
04013 Almería	Personas	2000	168.945
04013 Almería	Personas	1999	169.027
04013 Almería	Personas	1998	168.025
04013 Almería	Variación absoluta	2020	2.789
04013 Almería	Variación absoluta	2019	1.682
04013 Almería	Variación absoluta	2018	1.462
04013 Almería	Variación absoluta	2017	874
04013 Almería	Variación absoluta	2016	312
04013 Almería	Variación absoluta	2015	852
04013 Almería	Variación absoluta	2014	654
04013 Almería	Variación absoluta	2013	1.254
04013 Almería	Variación absoluta	2012	1.094
04013 Almería	Variación absoluta	2011	-89
04013 Almería	Variación absoluta	2010	1.203
04013 Almería	Variación absoluta	2009	1.289
04013 Almería	Variación absoluta	2008	870
04013 Almería	Variación absoluta	2007	1.342
04013 Almería	Variación absoluta	2006	3.607
04013 Almería	Variación absoluta	2005	4.021
04013 Almería	Variación absoluta	2004	954
04013 Almería	Variación absoluta	2003	3.389
04013 Almería	Variación absoluta	2002	2.344
04013 Almería	Variación absoluta	2001	2.049
04013 Almería	Variación absoluta	2000	-82
04013 Almería	Variación absoluta	1999	1.002
04013 Almería	Variación absoluta	1998	-2.478
04013 Almería	Variación relativa	2020	1,40
04013 Almería	Variación relativa	2019	0,85
04013 Almería	Variación relativa	2018	0,75
04013 Almería	Variación relativa	2017	0,45
04013 Almería	Variación relativa	2016	0,16
04013 Almería	Variación relativa	2015	0,44
04013 Almería	Variación relativa	2014	0,34
04013 Almería	Variación relativa	2013	0,66
04013 Almería	Variación relativa	2012	0,57
04013 Almería	Variación relativa	2011	-0,03
04013 Almería	Variación relativa	2010	0,64
04013 Almería	Variación relativa	2009	0,69
04013 Almería	Variación relativa	2008	0,47
04013 Almería	Variación relativa	2007	0,72
04013 Almería	Variación relativa	2006	1,99
04013 Almería	Variación relativa	2005	2,26
04013 Almería	Variación relativa	2004	0,54
04013 Almería	Variación relativa	2003	1,96
04013 Almería	Variación relativa	2002	1,37
04013 Almería	Variación relativa	2001	1,21
04013 Almería	Variación relativa	2000	-0,05
04013 Almería	Variación relativa	1999	0,60
04013 Almería	Variación relativa	1998	-1,45
05019 Ávila	Personas	2020	58.369
05019 Ávila	Personas	2019	57.744
05019 Ávila	Personas	2018	57.657
05019 Ávila	Personas	2017	58.149
05019 Ávila	Personas	2016	58.083
05019 Ávila	Personas	2015	58.358
05019 Ávila	Personas	2014	58.933
05019 Ávila	Personas	2013	59.258
05019 Ávila	Personas	2012	58.915
05019 Ávila	Personas	2011	59.008
05019 Ávila	Personas	2010	58.245
05019 Ávila	Personas	2009	56.855
05019 Ávila	Personas	2008	56.144
05019 Ávila	Personas	2007	53.794
05019 Ávila	Personas	2006	53.272
05019 Ávila	Personas	2005	52.612
05019 Ávila	Personas	2004	52.417
05019 Ávila	Personas	2003	52.078
05019 Ávila	Personas	2002	50.241
05019 Ávila	Personas	2001	47.967
05019 Ávila	Personas	2000	47.843
05019 Ávila	Personas	1999	47.682
05019 Ávila	Personas	1998	47.650
05019 Ávila	Variación absoluta	2020	625
05019 Ávila	Variación absoluta	2019	87
05019 Ávila	Variación absoluta	2018	-492
05019 Ávila	Variación absoluta	2017	66
05019 Ávila	Variación absoluta	2016	-275
05019 Ávila	Variación absoluta	2015	-575
05019 Ávila	Variación absoluta	2014	-325
05019 Ávila	Variación absoluta	2013	343
05019 Ávila	Variación absoluta	2012	-93
05019 Ávila	Variación absoluta	2011	336
05019 Ávila	Variación absoluta	2010	1.390
05019 Ávila	Variación absoluta	2009	711
05019 Ávila	Variación absoluta	2008	2.350
05019 Ávila	Variación absoluta	2007	522
05019 Ávila	Variación absoluta	2006	660
05019 Ávila	Variación absoluta	2005	195
05019 Ávila	Variación absoluta	2004	339
05019 Ávila	Variación absoluta	2003	1.837
05019 Ávila	Variación absoluta	2002	2.274
05019 Ávila	Variación absoluta	2001	124
05019 Ávila	Variación absoluta	2000	161
05019 Ávila	Variación absoluta	1999	32
05019 Ávila	Variación absoluta	1998	463
05019 Ávila	Variación relativa	2020	1,08
05019 Ávila	Variación relativa	2019	0,15
05019 Ávila	Variación relativa	2018	-0,85
05019 Ávila	Variación relativa	2017	0,11
05019 Ávila	Variación relativa	2016	-0,47
05019 Ávila	Variación relativa	2015	-0,98
05019 Ávila	Variación relativa	2014	-0,55
05019 Ávila	Variación relativa	2013	0,58
05019 Ávila	Variación relativa	2012	-0,16
05019 Ávila	Variación relativa	2011	0,18
05019 Ávila	Variación relativa	2010	2,44
05019 Ávila	Variación relativa	2009	1,27
05019 Ávila	Variación relativa	2008	4,37
05019 Ávila	Variación relativa	2007	0,98
05019 Ávila	Variación relativa	2006	1,25
05019 Ávila	Variación relativa	2005	0,37
05019 Ávila	Variación relativa	2004	0,65
05019 Ávila	Variación relativa	2003	3,66
05019 Ávila	Variación relativa	2002	4,74
05019 Ávila	Variación relativa	2001	0,26
05019 Ávila	Variación relativa	2000	0,34
05019 Ávila	Variación relativa	1999	0,07
05019 Ávila	Variación relativa	1998	0,98
06015 Badajoz	Personas	2020	150.984
06015 Badajoz	Personas	2019	150.702
06015 Badajoz	Personas	2018	150.530
06015 Badajoz	Personas	2017	150.543
06015 Badajoz	Personas	2016	149.946
06015 Badajoz	Personas	2015	149.892
06015 Badajoz	Personas	2014	150.517
06015 Badajoz	Personas	2013	150.621
06015 Badajoz	Personas	2012	152.270
06015 Badajoz	Personas	2011	151.565
06015 Badajoz	Personas	2010	150.376
06015 Badajoz	Personas	2009	148.334
06015 Badajoz	Personas	2008	146.832
06015 Badajoz	Personas	2007	145.257
06015 Badajoz	Personas	2006	143.748
06015 Badajoz	Personas	2005	143.019
06015 Badajoz	Personas	2004	139.135
06015 Badajoz	Personas	2003	138.415
06015 Badajoz	Personas	2002	136.851
06015 Badajoz	Personas	2001	136.319
06015 Badajoz	Personas	2000	136.136
06015 Badajoz	Personas	1999	136.613
06015 Badajoz	Personas	1998	134.710
06015 Badajoz	Variación absoluta	2020	282
06015 Badajoz	Variación absoluta	2019	172
06015 Badajoz	Variación absoluta	2018	-13
06015 Badajoz	Variación absoluta	2017	597
06015 Badajoz	Variación absoluta	2016	54
06015 Badajoz	Variación absoluta	2015	-625
06015 Badajoz	Variación absoluta	2014	-104
06015 Badajoz	Variación absoluta	2013	-1.649
06015 Badajoz	Variación absoluta	2012	705
06015 Badajoz	Variación absoluta	2011	763
06015 Badajoz	Variación absoluta	2010	2.042
06015 Badajoz	Variación absoluta	2009	1.502
06015 Badajoz	Variación absoluta	2008	1.575
06015 Badajoz	Variación absoluta	2007	1.509
06015 Badajoz	Variación absoluta	2006	729
06015 Badajoz	Variación absoluta	2005	3.884
06015 Badajoz	Variación absoluta	2004	720
06015 Badajoz	Variación absoluta	2003	1.564
06015 Badajoz	Variación absoluta	2002	532
06015 Badajoz	Variación absoluta	2001	183
06015 Badajoz	Variación absoluta	2000	-477
06015 Badajoz	Variación absoluta	1999	1.903
06015 Badajoz	Variación absoluta	1998	12.200
06015 Badajoz	Variación relativa	2020	0,19
06015 Badajoz	Variación relativa	2019	0,11
06015 Badajoz	Variación relativa	2018	-0,01
06015 Badajoz	Variación relativa	2017	0,40
06015 Badajoz	Variación relativa	2016	0,04
06015 Badajoz	Variación relativa	2015	-0,42
06015 Badajoz	Variación relativa	2014	-0,07
06015 Badajoz	Variación relativa	2013	-1,08
06015 Badajoz	Variación relativa	2012	0,47
06015 Badajoz	Variación relativa	2011	1,31
06015 Badajoz	Variación relativa	2010	1,38
06015 Badajoz	Variación relativa	2009	1,02
06015 Badajoz	Variación relativa	2008	1,08
06015 Badajoz	Variación relativa	2007	1,05
06015 Badajoz	Variación relativa	2006	0,51
06015 Badajoz	Variación relativa	2005	2,79
06015 Badajoz	Variación relativa	2004	0,52
06015 Badajoz	Variación relativa	2003	1,14
06015 Badajoz	Variación relativa	2002	0,39
06015 Badajoz	Variación relativa	2001	0,13
06015 Badajoz	Variación relativa	2000	-0,35
06015 Badajoz	Variación relativa	1999	1,41
06015 Badajoz	Variación relativa	1998	9,96
08019 Barcelona	Personas	2020	1.664.182
08019 Barcelona	Personas	2019	1.636.762
08019 Barcelona	Personas	2018	1.620.343
08019 Barcelona	Personas	2017	1.620.809
08019 Barcelona	Personas	2016	1.608.746
08019 Barcelona	Personas	2015	1.604.555
08019 Barcelona	Personas	2014	1.602.386
08019 Barcelona	Personas	2013	1.611.822
08019 Barcelona	Personas	2012	1.620.943
08019 Barcelona	Personas	2011	1.615.448
08019 Barcelona	Personas	2010	1.619.337
08019 Barcelona	Personas	2009	1.621.537
08019 Barcelona	Personas	2008	1.615.908
08019 Barcelona	Personas	2007	1.595.110
08019 Barcelona	Personas	2006	1.605.602
08019 Barcelona	Personas	2005	1.593.075
08019 Barcelona	Personas	2004	1.578.546
08019 Barcelona	Personas	2003	1.582.738
08019 Barcelona	Personas	2002	1.527.190
08019 Barcelona	Personas	2001	1.505.325
08019 Barcelona	Personas	2000	1.496.266
08019 Barcelona	Personas	1999	1.503.451
08019 Barcelona	Personas	1998	1.505.581
08019 Barcelona	Variación absoluta	2020	27.420
08019 Barcelona	Variación absoluta	2019	16.419
08019 Barcelona	Variación absoluta	2018	-466
08019 Barcelona	Variación absoluta	2017	12.063
08019 Barcelona	Variación absoluta	2016	4.191
08019 Barcelona	Variación absoluta	2015	2.169
08019 Barcelona	Variación absoluta	2014	-9.436
08019 Barcelona	Variación absoluta	2013	-9.121
08019 Barcelona	Variación absoluta	2012	5.495
08019 Barcelona	Variación absoluta	2011	1.189
08019 Barcelona	Variación absoluta	2010	-2.200
08019 Barcelona	Variación absoluta	2009	5.629
08019 Barcelona	Variación absoluta	2008	20.798
08019 Barcelona	Variación absoluta	2007	-10.492
08019 Barcelona	Variación absoluta	2006	12.527
08019 Barcelona	Variación absoluta	2005	14.529
08019 Barcelona	Variación absoluta	2004	-4.192
08019 Barcelona	Variación absoluta	2003	55.548
08019 Barcelona	Variación absoluta	2002	21.865
08019 Barcelona	Variación absoluta	2001	9.059
08019 Barcelona	Variación absoluta	2000	-7.185
08019 Barcelona	Variación absoluta	1999	-2.130
08019 Barcelona	Variación absoluta	1998	-3.224
08019 Barcelona	Variación relativa	2020	1,68
08019 Barcelona	Variación relativa	2019	1,01
08019 Barcelona	Variación relativa	2018	-0,03
08019 Barcelona	Variación relativa	2017	0,75
08019 Barcelona	Variación relativa	2016	0,26
08019 Barcelona	Variación relativa	2015	0,14
08019 Barcelona	Variación relativa	2014	-0,59
08019 Barcelona	Variación relativa	2013	-0,56
08019 Barcelona	Variación relativa	2012	0,34
08019 Barcelona	Variación relativa	2011	0,79
08019 Barcelona	Variación relativa	2010	-0,14
08019 Barcelona	Variación relativa	2009	0,35
08019 Barcelona	Variación relativa	2008	1,30
08019 Barcelona	Variación relativa	2007	-0,65
08019 Barcelona	Variación relativa	2006	0,79
08019 Barcelona	Variación relativa	2005	0,92
08019 Barcelona	Variación relativa	2004	-0,26
08019 Barcelona	Variación relativa	2003	3,64
08019 Barcelona	Variación relativa	2002	1,45
08019 Barcelona	Variación relativa	2001	0,61
08019 Barcelona	Variación relativa	2000	-0,48
08019 Barcelona	Variación relativa	1999	-0,14
08019 Barcelona	Variación relativa	1998	-0,21
48020 Bilbao	Personas	2020	350.184
48020 Bilbao	Personas	2019	346.843
48020 Bilbao	Personas	2018	345.821
48020 Bilbao	Personas	2017	345.110
48020 Bilbao	Personas	2016	345.122
48020 Bilbao	Personas	2015	345.141
48020 Bilbao	Personas	2014	346.574
48020 Bilbao	Personas	2013	349.356
48020 Bilbao	Personas	2012	351.629
48020 Bilbao	Personas	2011	352.700
48020 Bilbao	Personas	2010	353.187
48020 Bilbao	Personas	2009	354.860
48020 Bilbao	Personas	2008	353.340
48020 Bilbao	Personas	2007	353.168
48020 Bilbao	Personas	2006	354.145
48020 Bilbao	Personas	2005	353.173
48020 Bilbao	Personas	2004	352.317
48020 Bilbao	Personas	2003	353.567
48020 Bilbao	Personas	2002	353.950
48020 Bilbao	Personas	2001	353.943
48020 Bilbao	Personas	2000	354.271
48020 Bilbao	Personas	1999	357.589
48020 Bilbao	Personas	1998	358.467
48020 Bilbao	Variación absoluta	2020	3.341
48020 Bilbao	Variación absoluta	2019	1.022
48020 Bilbao	Variación absoluta	2018	711
48020 Bilbao	Variación absoluta	2017	-12
48020 Bilbao	Variación absoluta	2016	-19
48020 Bilbao	Variación absoluta	2015	-1.433
48020 Bilbao	Variación absoluta	2014	-2.782
48020 Bilbao	Variación absoluta	2013	-2.273
48020 Bilbao	Variación absoluta	2012	-1.071
48020 Bilbao	Variación absoluta	2011	637
48020 Bilbao	Variación absoluta	2010	-1.673
48020 Bilbao	Variación absoluta	2009	1.520
48020 Bilbao	Variación absoluta	2008	172
48020 Bilbao	Variación absoluta	2007	-977
48020 Bilbao	Variación absoluta	2006	972
48020 Bilbao	Variación absoluta	2005	856
48020 Bilbao	Variación absoluta	2004	-1.250
48020 Bilbao	Variación absoluta	2003	-383
48020 Bilbao	Variación absoluta	2002	7
48020 Bilbao	Variación absoluta	2001	-328
48020 Bilbao	Variación absoluta	2000	-3.318
48020 Bilbao	Variación absoluta	1999	-878
48020 Bilbao	Variación absoluta	1998	-408
48020 Bilbao	Variación relativa	2020	0,96
48020 Bilbao	Variación relativa	2019	0,30
48020 Bilbao	Variación relativa	2018	0,21
48020 Bilbao	Variación relativa	2017	0,00
48020 Bilbao	Variación relativa	2016	-0,01
48020 Bilbao	Variación relativa	2015	-0,41
48020 Bilbao	Variación relativa	2014	-0,80
48020 Bilbao	Variación relativa	2013	-0,65
48020 Bilbao	Variación relativa	2012	-0,30
48020 Bilbao	Variación relativa	2011	0,16
48020 Bilbao	Variación relativa	2010	-0,47
48020 Bilbao	Variación relativa	2009	0,43
48020 Bilbao	Variación relativa	2008	0,05
48020 Bilbao	Variación relativa	2007	-0,28
48020 Bilbao	Variación relativa	2006	0,28
48020 Bilbao	Variación relativa	2005	0,24
48020 Bilbao	Variación relativa	2004	-0,35
48020 Bilbao	Variación relativa	2003	-0,11
48020 Bilbao	Variación relativa	2002	0,00
48020 Bilbao	Variación relativa	2001	-0,09
48020 Bilbao	Variación relativa	2000	-0,93
48020 Bilbao	Variación relativa	1999	-0,24
48020 Bilbao	Variación relativa	1998	-0,11
09059 Burgos	Personas	2020	176.418
09059 Burgos	Personas	2019	175.821
09059 Burgos	Personas	2018	175.921
09059 Burgos	Personas	2017	175.623
09059 Burgos	Personas	2016	176.608
09059 Burgos	Personas	2015	177.100
09059 Burgos	Personas	2014	177.776
09059 Burgos	Personas	2013	179.097
09059 Burgos	Personas	2012	179.906
09059 Burgos	Personas	2011	179.251
09059 Burgos	Personas	2010	178.574
09059 Burgos	Personas	2009	178.966
09059 Burgos	Personas	2008	177.879
09059 Burgos	Personas	2007	174.075
09059 Burgos	Personas	2006	173.676
09059 Burgos	Personas	2005	172.421
09059 Burgos	Personas	2004	169.682
09059 Burgos	Personas	2003	169.317
09059 Burgos	Personas	2002	167.962
09059 Burgos	Personas	2001	166.251
09059 Burgos	Personas	2000	163.358
09059 Burgos	Personas	1999	162.802
09059 Burgos	Personas	1998	161.984
09059 Burgos	Variación absoluta	2020	597
09059 Burgos	Variación absoluta	2019	-100
09059 Burgos	Variación absoluta	2018	298
09059 Burgos	Variación absoluta	2017	-985
09059 Burgos	Variación absoluta	2016	-492
09059 Burgos	Variación absoluta	2015	-676
09059 Burgos	Variación absoluta	2014	-1.321
09059 Burgos	Variación absoluta	2013	-809
09059 Burgos	Variación absoluta	2012	655
09059 Burgos	Variación absoluta	2011	-3.889
09059 Burgos	Variación absoluta	2010	-392
09059 Burgos	Variación absoluta	2009	1.087
09059 Burgos	Variación absoluta	2008	3.804
09059 Burgos	Variación absoluta	2007	399
09059 Burgos	Variación absoluta	2006	1.255
09059 Burgos	Variación absoluta	2005	2.739
09059 Burgos	Variación absoluta	2004	365
09059 Burgos	Variación absoluta	2003	1.355
09059 Burgos	Variación absoluta	2002	1.711
09059 Burgos	Variación absoluta	2001	2.893
09059 Burgos	Variación absoluta	2000	556
09059 Burgos	Variación absoluta	1999	818
09059 Burgos	Variación absoluta	1998	-1.172
09059 Burgos	Variación relativa	2020	0,34
09059 Burgos	Variación relativa	2019	-0,06
09059 Burgos	Variación relativa	2018	0,17
09059 Burgos	Variación relativa	2017	-0,56
09059 Burgos	Variación relativa	2016	-0,28
09059 Burgos	Variación relativa	2015	-0,38
09059 Burgos	Variación relativa	2014	-0,74
09059 Burgos	Variación relativa	2013	-0,45
09059 Burgos	Variación relativa	2012	0,37
09059 Burgos	Variación relativa	2011	-0,24
09059 Burgos	Variación relativa	2010	-0,22
09059 Burgos	Variación relativa	2009	0,61
09059 Burgos	Variación relativa	2008	2,19
09059 Burgos	Variación relativa	2007	0,23
09059 Burgos	Variación relativa	2006	0,73
09059 Burgos	Variación relativa	2005	1,61
09059 Burgos	Variación relativa	2004	0,22
09059 Burgos	Variación relativa	2003	0,81
09059 Burgos	Variación relativa	2002	1,03
09059 Burgos	Variación relativa	2001	1,77
09059 Burgos	Variación relativa	2000	0,34
09059 Burgos	Variación relativa	1999	0,50
09059 Burgos	Variación relativa	1998	-0,72
10037 Cáceres	Personas	2020	96.255
10037 Cáceres	Personas	2019	96.126
